Time & Date,Currency,Amount,Payment Type,Payment Provider,City,Order Type,Order ID,Name,Quantity,Discount,Shipping,Status
"5/3/2023, 1:10:23 PM",INR,319,Single payment,Razorpay,Ernakulam,eCom Platform,11196,"Ruby (Only 1) Gloss Tube:Sample(3ml), Hibiscus Lip OIl",2,,80,Successful
"25/12/2022, 08:07:04 PM",INR,570,Single payment,Offline Payments,Bhopal,eCom Platform,11195,"Woody (Only 1) Gloss Tube:Sample(1ml), Bills (Only 1) Gloss Tube:Sample(1ml), Bubblegum (Only 1) Gloss Tube:Sample(1ml), Sangria (Only 1) Gloss Tube:Sample(1ml), Ruby (Only 1) Gloss Tube:Sample(1ml), Poo (Only 1) Gloss Tube:Sample(1ml), Dinero (Only 1) Gloss Tube:Sample(1ml)",7,,150,Successful
"22/12/2022, 11:41:54 PM",INR,448,Single payment,Offline Payments,Bengaluru,eCom Platform,11194,"Boujee Lip Oil, Hibiscus Lip OIl",2,,150,Successful
"22/12/2022, 10:39:43 AM",INR,260,Single payment,Razorpay,bangalore,eCom Platform,11193,Dinero (Only 1) Gloss Tube:Sample(3ml),2,,80,Successful
"21/11/2022, 12:46:52 PM",INR,468,Single payment,Razorpay,Namburu,eCom Platform,11192,"Brown Sugar Lip and Cheek Tint, Nudes, Cotton Candy Lip Scrub",3,,80,Successful
"18/10/2022, 05:03:24 PM",INR,215,Single payment,Razorpay,Gurugram,eCom Platform,11191,"Woody (Only 1) Gloss Tube:Sample(1ml), Y2k Select an Option:Sample Gloss",2,,80,Successful
"18/10/2022, 10:23:25 AM",INR,399,Single payment,Offline Payments,Patna,eCom Platform,11190,Bills (Only 1) Gloss Tube:Normal Wand,1,,150,Successful
"25/8/2022, 08:35:35 PM",INR,170,Single payment,Razorpay,faridabad,eCom Platform,11189,Sangria (Only 1) Gloss Tube:Sample(3ml),1,,80,Successful
"20/8/2022, 12:10:21 AM",INR,289,Single payment,Razorpay,Sricity chittoor,eCom Platform,11189,"Sangria (Only 1) Gloss Tube:Sample(1ml), Mandarin Lip and Cheek Tint",2,,80,Successful
"19/8/2022, 02:36:09 PM",INR,739,Single payment,Offline Payments,Ghaziabad,eCom Platform,11187,Gloss Pack,1,,150,Successful
"29/7/2022, 02:46:05 AM",INR,378,Single payment,Offline Payments,Lucknow,eCom Platform,11186,"Cotton Candy Lip Scrub, Lavendor Lip Oil",2,,80,Successful
